----------------------------------LAWS----------------------------------
Law #0: 903, complexity: 28;
	Law #95 Criterion: 1627;
	Law #96 Criterion: 67;
	Law #97 Criterion: 599;
	Law #99 Criterion: 137;
	Law #100 Criterion: 491;
	Law #102 Criterion: 149;
	Law #104 Criterion: 17;
	Law #105 Criterion: 131;
	Law #106 Criterion: 1697;
	Law #110 Criterion: 1873;
	Law #111 Criterion: 179;
	Law #112 Criterion: 1901;
	Law #114 Criterion: 29;
	Law #116 Criterion: 769;
	Law #118 Criterion: 509;
	Law #119 Criterion: 79;
	Law #123 Criterion: 1163;
	Law #127 Criterion: 1721;
	Law #128 Criterion: 1523;
	Law #130 Criterion: 211;
	Law #131 Criterion: 1877;
	Law #132 Criterion: 23;
	Law #133 Criterion: 683;
	Law #134 Criterion: 1753;
	Law #135 Criterion: 1877;
	Law #141 Criterion: 173;
	Law #142 Criterion: 431;
	Law #145 Criterion: 127;
	Law #147 Criterion: 1697;
	Law #148 Criterion: 1129;
	Law #149 Criterion: 47;
	Law #151 Criterion: 1669;
	Law #153 Criterion: 373;
	Law #154 Criterion: 1427;
	Law #156 Criterion: 1049;
	Law #157 Criterion: 139;
	Law #159 Criterion: 487;
	Law #163 Criterion: 1637;
	Law #173 Criterion: 347;
	Law #176 Criterion: 1217;
Person #2
Wants to be in party: 0
Strategy of voting: party_voting
Votes for:
	Law #0 Criterion: 1801;
	Law #1 Criterion: 7;
	Law #3 Criterion: 389;
	Law #4 Criterion: 79;
	Law #8 Criterion: 373;
	Law #9 Criterion: 1867;
	Law #10 Criterion: 929;
	Law #11 Criterion: 1171;
	Law #12 Criterion: 457;
	Law #16 Criterion: 811;
	Law #19 Criterion: 709;
	Law #21 Criterion: 193;
	Law #22 Criterion: 673;
	Law #26 Criterion: 587;
	Law #27 Criterion: 1759;
	Law #28 Criterion: 277;
	Law #31 Criterion: 337;
	Law #32 Criterion: 419;
	Law #33 Criterion: 1999;
	Law #36 Criterion: 1973;
	Law #41 Criterion: 857;
	Law #43 Criterion: 281;
	Law #44 Criterion: 1187;
	Law #46 Criterion: 1709;
	Law #47 Criterion: 1289;
	Law #48 Criterion: 857;
	Law #53 Criterion: 389;
	Law #54 Criterion: 1021;
	Law #55 Criterion: 1277;
	Law #56 Criterion: 83;
	Law #59 Criterion: 257;
	Law #61 Criterion: 907;
	Law #62 Criterion: 443;
	Law #63 Criterion: 1451;
	Law #64 Criterion: 1231;
	Law #65 Criterion: 1087;
	Law #66 Criterion: 1427;
	Law #67 Criterion: 337;
	Law #69 Criterion: 1237;
	Law #70 Criterion: 1447;
	Law #71 Criterion: 313;
	Law #77 Criterion: 683;
	Law #78 Criterion: 1949;
	Law #79 Criterion: 1783;
	Law #85 Criterion: 311;
	Law #86 Criterion: 619;
	Law #88 Criterion: 1619;
	Law #89 Criterion: 937;
	Law #90 Criterion: 311;
	Law #92 Criterion: 41;
	Law #93 Criterion: 1867;
	Law #98 Criterion: 1531;
	Law #99 Criterion: 607;
	Law #100 Criterion: 491;
	Law #102 Criterion: 349;
	Law #103 Criterion: 491;
	Law #104 Criterion: 619;
	Law #105 Criterion: 883;
	Law #106 Criterion: 1601;
	Law #108 Criterion: 307;
	Law #109 Criterion: 1823;
	Law #110 Criterion: 1979;
	Law #111 Criterion: 313;
	Law #112 Criterion: 1321;
	Law #116 Criterion: 1877;
	Law #117 Criterion: 419;
	Law #118 Criterion: 1021;
	Law #119 Criterion: 1151;
	Law #120 Criterion: 157;
	Law #125 Criterion: 239;
	Law #126 Criterion: 1879;
	Law #127 Criterion: 1103;
	Law #128 Criterion: 653;
	Law #131 Criterion: 1951;
	Law #135 Criterion: 839;
	Law #139 Criterion: 487;
	Law #140 Criterion: 659;
	Law #142 Criterion: 593;
	Law #143 Criterion: 719;
	Law #145 Criterion: 1097;
	Law #147 Criterion: 773;
	Law #148 Criterion: 607;
	Law #149 Criterion: 223;
	Law #150 Criterion: 379;
	Law #152 Criterion: 1789;
	Law #155 Criterion: 1153;
	Law #161 Criterion: 1697;
	Law #167 Criterion: 373;
	Law #168 Criterion: 769;
	Law #170 Criterion: 271;
	Law #171 Criterion: 137;
	Law #172 Criterion: 1129;
	Law #173 Criterion: 271;
Person #3
Wants to be in party: 1
Strategy of voting: own_voting
Votes for:
	Law #5 Criterion: 809;
	Law #11 Criterion: 647;
	Law #12 Criterion: 1423;
	Law #15 Criterion: 211;
	Law #17 Criterion: 1229;
	Law #20 Criterion: 1097;
	Law #21 Criterion: 73;
	Law #23 Criterion: 941;
	Law #24 Criterion: 1597;
	Law #25 Criterion: 1483;
	Law #26 Criterion: 1723;
	Law #28 Criterion: 1723;
	Law #29 Criterion: 103;
	Law #30 Criterion: 877;
	Law #32 Criterion: 1103;
	Law #34 Criterion: 1129;
	Law #35 Criterion: 653;
	Law #39 Criterion: 563;
	Law #43 Criterion: 1667;
	Law #44 Criterion: 1999;
	Law #45 Criterion: 1699;
	Law #48 Criterion: 1279;
	Law #49 Criterion: 1567;
	Law #51 Criterion: 823;
	Law #52 Criterion: 1871;
	Law #54 Criterion: 29;
	Law #55 Criterion: 47;
	Law #56 Criterion: 937;
	Law #57 Criterion: 1873;
	Law #59 Criterion: 71;
	Law #61 Criterion: 2;
	Law #62 Criterion: 1789;
	Law #63 Criterion: 1447;
	Law #68 Criterion: 751;
	Law #69 Criterion: 1213;
	Law #74 Criterion: 281;
	Law #77 Criterion: 1321;
	Law #80 Criterion: 2;
	Law #81 Criterion: 1361;
	Law #83 Criterion: 157;
	Law #85 Criterion: 751;
	Law #88 Criterion: 547;
	Law #89 Criterion: 229;
	Law #90 Criterion: 1721;
	Law #92 Criterion: 1951;
	Law #96 Criterion: 953;
	Law #99 Criterion: 829;
	Law #101 Criterion: 977;
	Law #102 Criterion: 229;
	Law #103 Criterion: 1217;
	Law #105 Criterion: 673;
	Law #107 Criterion: 1783;
	Law #109 Criterion: 401;
	Law #110 Criterion: 1283;
	Law #112 Criterion: 593;
	Law #115 Criterion: 709;
	Law #118 Criterion: 677;
	Law #120 Criterion: 11;
	Law #122 Criterion: 173;
	Law #124 Criterion: 241;
	Law #126 Criterion: 1931;
	Law #127 Criterion: 17;
	Law #128 Criterion: 1913;
	Law #129 Criterion: 1049;
	Law #131 Criterion: 1091;
	Law #134 Criterion: 149;
	Law #135 Criterion: 1277;
	Law #136 Criterion: 19;
	Law #138 Criterion: 439;
	Law #139 Criterion: 89;
	Law #141 Criterion: 431;
	Law #142 Criterion: 137;
	Law #143 Criterion: 1201;
	Law #144 Criterion: 307;
	Law #146 Criterion: 769;
	Law #147 Criterion: 439;
	Law #150 Criterion: 569;
	Law #159 Criterion: 1033;
	Law #162 Criterion: 1621;
	Law #165 Criterion: 1823;
	Law #167 Criterion: 397;
	Law #168 Criterion: 1217;
	Law #170 Criterion: 1861;
	Law #172 Criterion: 947;
	Law #173 Criterion: 727;
	Law #176 Criterion: 1553;
Person #4
Wants to be in party: 0
Strategy of voting: random
Votes for:
	Law #1 Criterion: 619;
	Law #2 Criterion: 1709;
	Law #3 Criterion: 1109;
	Law #5 Criterion: 839;
	Law #6 Criterion: 149;
	Law #7 Criterion: 937;
	Law #8 Criterion: 1999;
	Law #13 Criterion: 2;
	Law #18 Criterion: 1223;
	Law #19 Criterion: 661;
	Law #20 Criterion: 37;
	Law #22 Criterion: 1951;
	Law #23 Criterion: 251;
	Law #25 Criterion: 281;
	Law #26 Criterion: 811;
	Law #27 Criterion: 89;
	Law #31 Criterion: 563;
	Law #33 Criterion: 79;
	Law #35 Criterion: 1753;
	Law #36 Criterion: 1669;
	Law #40 Criterion: 1153;
	Law #42 Criterion: 103;
	Law #43 Criterion: 1093;
	Law #45 Criterion: 983;
	Law #46 Criterion: 79;
	Law #49 Criterion: 887;
	Law #50 Criterion: 1117;
	Law #52 Criterion: 1087;
	Law #54 Criterion: 1093;
	Law #55 Criterion: 419;
	Law #56 Criterion: 1531;
	Law #59 Criterion: 1709;
	Law #62 Criterion: 251;
	Law #63 Criterion: 997;
	Law #66 Criterion: 439;
	Law #67 Criterion: 1549;
	Law #68 Criterion: 1321;
	Law #74 Criterion: 383;
	Law #76 Criterion: 577;
	Law #77 Criterion: 1117;
	Law #81 Criterion: 1069;
	Law #89 Criterion: 1597;
	Law #93 Criterion: 521;
	Law #95 Criterion: 1901;
	Law #99 Criterion: 7;
	Law #100 Criterion: 461;
	Law #101 Criterion: 421;
	Law #103 Criterion: 1847;
	Law #104 Criterion: 61;
	Law #105 Criterion: 1667;
	Law #106 Criterion: 1381;
	Law #110 Criterion: 431;
	Law #111 Criterion: 257;
	Law #112 Criterion: 193;
	Law #115 Criterion: 617;
	Law #117 Criterion: 83;
	Law #119 Criterion: 1559;
	Law #126 Criterion: 317;
	Law #128 Criterion: 1223;
	Law #129 Criterion: 47;
	Law #130 Criterion: 967;
	Law #133 Criterion: 1439;
	Law #135 Criterion: 127;
	Law #138 Criterion: 127;
	Law #142 Criterion: 1471;
	Law #143 Criterion: 271;
	Law #144 Criterion: 131;
	Law #145 Criterion: 337;
	Law #146 Criterion: 19;
	Law #147 Criterion: 797;
	Law #148 Criterion: 773;
	Law #150 Criterion: 1723;
	Law #151 Criterion: 1637;
	Law #152 Criterion: 761;
	Law #153 Criterion: 739;
	Law #155 Criterion: 967;
	Law #158 Criterion: 701;
	Law #160 Criterion: 193;
	Law #168 Criterion: 1787;
	Law #169 Criterion: 3;
	Law #170 Criterion: 193;
	Law #172 Criterion: 941;
	Law #174 Criterion: 1721;
	Law #175 Criterion: 883;
Person #5
Wants to be in party: 0
Strategy of voting: party_voting
Votes for:
	Law #0 Criterion: 647;
	Law #1 Criterion: 1021;
	Law #3 Criterion: 173;
	Law #6 Criterion: 1931;
	Law #7 Criterion: 467;
	Law #8 Criterion: 1759;
	Law #10 Criterion: 1181;
	Law #11 Criterion: 449;
	Law #12 Criterion: 1699;
	Law #13 Criterion: 1523;
	Law #14 Criterion: 929;
	Law #17 Criterion: 1439;
	Law #20 Criterion: 1999;
	Law #23 Criterion: 1039;
	Law #25 Criterion: 283;
	Law #26 Criterion: 449;
	Law #28 Criterion: 1847;
	Law #30 Criterion: 1709;
	Law #32 Criterion: 1873;
	Law #33 Criterion: 401;
	Law #34 Criterion: 647;
	Law #35 Criterion: 1753;
	Law #37 Criterion: 701;
	Law #39 Criterion: 613;
	Law #41 Criterion: 907;
	Law #42 Criterion: 881;
	Law #43 Criterion: 563;
	Law #45 Criterion: 379;
	Law #46 Criterion: 41;
	Law #50 Criterion: 1871;
	Law #54 Criterion: 1451;
	Law #55 Criterion: 1733;
	Law #58 Criterion: 1283;
	Law #60 Criterion: 331;
	Law #63 Criterion: 1931;
	Law #64 Criterion: 1319;
	Law #65 Criterion: 1879;
	Law #66 Criterion: 887;
	Law #68 Criterion: 1259;
	Law #69 Criterion: 79;
	Law #70 Criterion: 1327;
	Law #71 Criterion: 181;
	Law #73 Criterion: 971;
	Law #74 Criterion: 463;
	Law #75 Criterion: 5;
	Law #76 Criterion: 401;
	Law #80 Criterion: 467;
	Law #81 Criterion: 563;
	Law #83 Criterion: 617;
	Law #84 Criterion: 1069;
	Law #86 Criterion: 457;
	Law #88 Criterion: 1039;
	Law #93 Criterion: 389;
	Law #96 Criterion: 811;
	Law #98 Criterion: 1579;
	Law #100 Criterion: 631;
	Law #101 Criterion: 89;
	Law #103 Criterion: 71;
	Law #105 Criterion: 1283;
	Law #106 Criterion: 307;
	Law #109 Criterion: 503;
	Law #110 Criterion: 1531;
	Law #112 Criterion: 1303;
	Law #113 Criterion: 1163;
	Law #114 Criterion: 197;
	Law #117 Criterion: 173;
	Law #118 Criterion: 1213;
	Law #120 Criterion: 563;
	Law #122 Criterion: 1657;
	Law #123 Criterion: 991;
	Law #124 Criterion: 401;
	Law #126 Criterion: 1933;
	Law #129 Criterion: 11;
	Law #130 Criterion: 313;
	Law #131 Criterion: 457;
	Law #133 Criterion: 1117;
	Law #135 Criterion: 1913;
	Law #137 Criterion: 269;
	Law #138 Criterion: 293;
	Law #141 Criterion: 709;
	Law #143 Criterion: 1777;
	Law #144 Criterion: 757;
	Law #146 Criterion: 107;
	Law #148 Criterion: 1901;
	Law #149 Criterion: 1543;
	Law #150 Criterion: 1091;
	Law #153 Criterion: 227;
	Law #154 Criterion: 1321;
	Law #155 Criterion: 1669;
	Law #156 Criterion: 1019;
	Law #157 Criterion: 977;
	Law #160 Criterion: 1667;
	Law #162 Criterion: 1487;
	Law #163 Criterion: 251;
	Law #164 Criterion: 1699;
	Law #165 Criterion: 113;
	Law #168 Criterion: 397;
	Law #169 Criterion: 1789;
	Law #171 Criterion: 1367;
	Law #172 Criterion: 1429;
	Law #175 Criterion: 643;
Person #6
Wants to be in party: 1
Strategy of voting: own_voting
Votes for:
	Law #0 Criterion: 587;
	Law #2 Criterion: 379;
	Law #3 Criterion: 1873;
	Law #4 Criterion: 1051;
	Law #6 Criterion: 313;
	Law #11 Criterion: 1697;
	Law #14 Criterion: 1783;
	Law #16 Criterion: 509;
	Law #19 Criterion: 673;
	Law #20 Criterion: 277;
	Law #23 Criterion: 677;
	Law #25 Criterion: 163;
	Law #26 Criterion: 1543;
	Law #29 Criterion: 461;
	Law #31 Criterion: 1423;
	Law #34 Criterion: 1609;
	Law #38 Criterion: 1973;
	Law #39 Criterion: 557;
	Law #40 Criterion: 173;
	Law #42 Criterion: 137;
	Law #43 Criterion: 1171;
	Law #44 Criterion: 233;
	Law #45 Criterion: 3;
	Law #46 Criterion: 499;
	Law #52 Criterion: 1871;
	Law #54 Criterion: 1193;
	Law #55 Criterion: 1109;
	Law #57 Criterion: 379;
	Law #59 Criterion: 37;
	Law #60 Criterion: 113;
	Law #61 Criterion: 673;
	Law #62 Criterion: 733;
	Law #63 Criterion: 571;
	Law #69 Criterion: 73;
	Law #71 Criterion: 43;
	Law #77 Criterion: 439;
	Law #79 Criterion: 347;
	Law #80 Criterion: 941;
	Law #81 Criterion: 373;
	Law #83 Criterion: 433;
	Law #84 Criterion: 631;
	Law #86 Criterion: 1453;
	Law #88 Criterion: 379;
	Law #90 Criterion: 17;
	Law #91 Criterion: 787;
	Law #92 Criterion: 1201;
	Law #93 Criterion: 1321;
	Law #94 Criterion: 1759;
	Law #95 Criterion: 1777;
	Law #96 Criterion: 1867;
	Law #100 Criterion: 1549;
	Law #101 Criterion: 41;
	Law #102 Criterion: 1277;
	Law #106 Criterion: 241;
	Law #107 Criterion: 541;
	Law #109 Criterion: 41;
	Law #110 Criterion: 37;
	Law #114 Criterion: 751;
	Law #116 Criterion: 113;
	Law #117 Criterion: 1187;
	Law #118 Criterion: 823;
	Law #119 Criterion: 383;
	Law #123 Criterion: 809;
	Law #124 Criterion: 1877;
	Law #125 Criterion: 811;
	Law #126 Criterion: 1657;
	Law #127 Criterion: 167;
	Law #129 Criterion: 701;
	Law #130 Criterion: 1553;
	Law #133 Criterion: 719;
	Law #134 Criterion: 1193;
	Law #136 Criterion: 443;
	Law #137 Criterion: 547;
	Law #138 Criterion: 1427;
	Law #140 Criterion: 701;
	Law #141 Criterion: 5;
	Law #145 Criterion: 13;
	Law #150 Criterion: 1051;
	Law #151 Criterion: 659;
	Law #152 Criterion: 1367;
	Law #155 Criterion: 191;
	Law #161 Criterion: 173;
	Law #163 Criterion: 1597;
	Law #164 Criterion: 199;
	Law #165 Criterion: 41;
	Law #166 Criterion: 997;
	Law #167 Criterion: 241;
	Law #168 Criterion: 139;
	Law #170 Criterion: 149;
	Law #175 Criterion: 1103;
Person #7
Wants to be in party: 0
Strategy of voting: random
Votes for:
	Law #1 Criterion: 547;
	Law #2 Criterion: 1747;
	Law #4 Criterion: 1613;
	Law #6 Criterion: 389;
	Law #7 Criterion: 1181;
	Law #8 Criterion: 1531;
	Law #9 Criterion: 59;
	Law #11 Criterion: 449;
	Law #13 Criterion: 229;
	Law #14 Criterion: 1231;
	Law #16 Criterion: 757;
	Law #17 Criterion: 1291;
	Law #18 Criterion: 127;
	Law #20 Criterion: 359;
	Law #22 Criterion: 1933;
	Law #23 Criterion: 137;
	Law #24 Criterion: 751;
	Law #27 Criterion: 1931;
	Law #28 Criterion: 1667;
	Law #30 Criterion: 929;
	Law #31 Criterion: 1093;
	Law #37 Criterion: 1993;
	Law #38 Criterion: 853;
	Law #40 Criterion: 1543;
	Law #41 Criterion: 823;
	Law #44 Criterion: 373;
	Law #48 Criterion: 1093;
	Law #49 Criterion: 1427;
	Law #54 Criterion: 43;
	Law #55 Criterion: 1093;
	Law #59 Criterion: 251;
	Law #60 Criterion: 269;
	Law #61 Criterion: 811;
	Law #62 Criterion: 227;
	Law #63 Criterion: 1697;
	Law #65 Criterion: 1777;
	Law #66 Criterion: 281;
	Law #68 Criterion: 1321;
	Law #69 Criterion: 569;
	Law #71 Criterion: 547;
	Law #72 Criterion: 487;
	Law #73 Criterion: 421;
	Law #76 Criterion: 1907;
	Law #77 Criterion: 1733;
	Law #79 Criterion: 1619;
	Law #81 Criterion: 1511;
	Law #82 Criterion: 1933;
	Law #87 Criterion: 173;
	Law #90 Criterion: 1663;
	Law #97 Criterion: 887;
	Law #98 Criterion: 1453;
	Law #100 Criterion: 5;
	Law #101 Criterion: 653;
	Law #102 Criterion: 13;
	Law #103 Criterion: 1759;
	Law #104 Criterion: 971;
	Law #105 Criterion: 1181;
	Law #106 Criterion: 379;
	Law #107 Criterion: 103;
	Law #109 Criterion: 431;
	Law #111 Criterion: 1663;
	Law #115 Criterion: 73;
	Law #122 Criterion: 1823;
	Law #126 Criterion: 1259;
	Law #129 Criterion: 941;
	Law #130 Criterion: 677;
	Law #132 Criterion: 827;
	Law #133 Criterion: 1523;
	Law #135 Criterion: 1283;
	Law #138 Criterion: 1193;
	Law #139 Criterion: 1201;
